key	target	prop	english	zh-CN
Code_Main_RestartToApply	MainWindow.xaml.cs	code	Restart {0} to apply {1}.	重启 {0} 以应用{1}。
Code_Main_RestartToApplyMultiple	MainWindow.xaml.cs	code	Restart {0} to apply these changes: {1}.	重启 {0} 以应用以下更改：{1}。
Code_Main_CouldNotSaveCameraSmoothing	MainWindow.xaml.cs	code	Could not save camera smoothing	无法保存相机平滑设置
Code_Main_Off	MainWindow.xaml.cs	code	Off	关闭
Code_Main_ProjectionQuadLayerUi	MainWindow.xaml.cs	code	Projection + quad-layer UI	投影 + 四边形层 UI
Code_Main_ProjectionOnly	MainWindow.xaml.cs	code	Projection only	仅投影
Code_Main_QuadLayerUiShown	MainWindow.xaml.cs	code	Quad-layer UI shown	已显示四边形层 UI
Code_Main_QuadLayerUiHidden	MainWindow.xaml.cs	code	Quad-layer UI hidden	已隐藏四边形层 UI
Code_Main_QuadLayerUiSavedNote	MainWindow.xaml.cs	code	The OBS mirror picks up this recording-only setting live when the updated layer is active. The headset remains unchanged.	更新后的层生效时，OBS 镜像会实时采用这一仅影响录制的设置；头显画面保持不变。
Code_Main_CouldNotSaveUiLayerSetting	MainWindow.xaml.cs	code	Could not save the UI-layer setting	无法保存 UI 层设置
Code_Main_NewerComponentsInstalled	MainWindow.xaml.cs	code	Newer components are installed	已安装更新的组件
Code_Main_NewerComponentsMessage	MainWindow.xaml.cs	code	The installed layer and OBS source come from {0}, which is newer than this Control Center ({1}). They were left alone; update the app to match.	已安装的层与 OBS 源来自 {0}，比当前控制中心（{1}）更新。它们未被改动；请更新本应用以保持一致。
Code_Main_ReasonLayerUpdate	MainWindow.xaml.cs	code	the OpenXR layer update	OpenXR 层更新
Code_Main_RestartVrForNewLayer	MainWindow.xaml.cs	code	Restart the running VR application to load the new layer build.	重启正在运行的 VR 应用以加载新的层构建。
Code_Main_ObsSourceUpdateOnClose	MainWindow.xaml.cs	code	The OBS source update installs automatically once OBS is closed.	OBS 关闭后会自动安装 OBS 源更新。
Code_Main_RestartObsForSource	MainWindow.xaml.cs	code	Restart OBS to load the updated source.	重启 OBS 以加载更新后的源。
Code_Main_ObsSourceUpdateWaiting	MainWindow.xaml.cs	code	OBS source update waiting	OBS 源更新等待中
Code_Main_UpdatedAutomatically	MainWindow.xaml.cs	code	Updated automatically	已自动更新
Code_Main_NewBuildDetected	MainWindow.xaml.cs	code	A new build was detected.	检测到新的构建。
Code_Main_AutomaticUpdateFailed	MainWindow.xaml.cs	code	Automatic update failed	自动更新失败
Code_Main_AutomaticUpdateFailedBody	MainWindow.xaml.cs	code	{0} Use Installation > Install / update to retry.	{0} 请使用“安装 > 安装 / 更新”重试。
Code_Main_ActionInstallingObsmirror	MainWindow.xaml.cs	code	Installing OBSMirror	OBSMirror 安装
Code_Main_InstallationComplete	MainWindow.xaml.cs	code	Installation complete	安装完成
Code_Main_ActionEnablingLayer	MainWindow.xaml.cs	code	Enabling the OpenXR layer	OpenXR 层启用
Code_Main_ActionDisablingLayer	MainWindow.xaml.cs	code	Disabling the OpenXR layer	OpenXR 层禁用
Code_Main_ReasonLayerRegistrationChange	MainWindow.xaml.cs	code	the OpenXR layer registration change	OpenXR 层注册变更
Code_Main_LayerEnabled	MainWindow.xaml.cs	code	OpenXR layer enabled	OpenXR 层已启用
Code_Main_RestartVrToLoadLayer	MainWindow.xaml.cs	code	Restart the running VR application to load the layer.	重启正在运行的 VR 应用以加载该层。
Code_Main_LayerDisabled	MainWindow.xaml.cs	code	OpenXR layer disabled	OpenXR 层已禁用
Code_Main_FilesLeftInPlace	MainWindow.xaml.cs	code	Installed files and the OBS source were left in place.	已安装的文件与 OBS 源均保持原样。
Code_Main_RestartVrToUnloadLayer	MainWindow.xaml.cs	code	Restart the running VR application to unload the layer.	重启正在运行的 VR 应用以卸载该层。
Code_Main_ActionRemovingOldSource	MainWindow.xaml.cs	code	Removing the old OBS source copy	移除旧版 OBS 源副本
Code_Main_OldSourceCopyRemoved	MainWindow.xaml.cs	code	Old OBS source copy removed	已移除旧版 OBS 源副本
Code_Main_OldSourceCopyRemovedBody	MainWindow.xaml.cs	code	{0} Start OBS again; the installed source will now be the one that loads.	{0} 请重新启动 OBS，此后加载的将是已安装的源。
Code_Main_ObsAlreadyRunning	MainWindow.xaml.cs	code	OBS is already running	OBS 已在运行
Code_Main_ObsAlreadyRunningBody	MainWindow.xaml.cs	code	The saved OpenXR Mirror Capture source is ready in the current OBS session.	已保存的 OpenXR 镜像采集源已在当前 OBS 会话中就绪。
Code_Main_ObsLaunched	MainWindow.xaml.cs	code	OBS launched	OBS 已启动
Code_Main_ObsLaunchedBody	MainWindow.xaml.cs	code	Refresh status after OBS finishes loading.	OBS 加载完成后请刷新状态。
Code_Main_CouldNotLaunchObs	MainWindow.xaml.cs	code	Could not launch OBS	无法启动 OBS
Code_Main_LocateObsStudio	MainWindow.xaml.cs	code	Locate OBS Studio	定位 OBS Studio
Code_Main_BrowseForObs64	MainWindow.xaml.cs	code	Browse for obs64.exe	浏览以查找 obs64.exe
Code_Main_Cancel	MainWindow.xaml.cs	code	Cancel	取消
Code_Main_ObsExeHint	MainWindow.xaml.cs	code	obs64.exe is usually in the OBS install folder under bin\64bit.	obs64.exe 通常位于 OBS 安装目录的 bin\64bit 文件夹中。
Code_Main_SavedObsLocation	MainWindow.xaml.cs	code	Saved this location for future launches: {0}	已保存此位置，供以后启动使用：{0}
Code_Main_SelectHeadsetRuntimeFirst	MainWindow.xaml.cs	code	Select a headset runtime first	请先选择头显运行时
Code_Main_SystemRuntimeIsSimulator	MainWindow.xaml.cs	code	The system runtime itself is currently the simulator, so there is no headset runtime for this button to restore. Open your headset or SteamVR desktop software and choose 'Set as active OpenXR runtime'.	当前系统运行时本身就是模拟器，因此此按钮没有可恢复的头显运行时。请打开头显或 SteamVR 桌面软件，并选择“设为活动的 OpenXR 运行时”。
Code_Main_TheSystemOpenXrRuntime	MainWindow.xaml.cs	code	the system OpenXR runtime	系统 OpenXR 运行时
Code_Main_ReasonRuntimeChange	MainWindow.xaml.cs	code	the OpenXR runtime change	OpenXR 运行时变更
Code_Main_HeadsetRuntimeRestored	MainWindow.xaml.cs	code	Headset runtime restored	头显运行时已恢复
Code_Main_HeadsetRuntimeRestoredBody	MainWindow.xaml.cs	code	Per-user simulator overrides were cleared. New OpenXR applications will use {0} ({1}).	已清除每用户的模拟器覆盖。新的 OpenXR 应用将使用 {0}（{1}）。
Code_Main_RestartVrToSwitchRuntimes	MainWindow.xaml.cs	code	Restart the running VR application to switch runtimes.	重启正在运行的 VR 应用以切换运行时。
Code_Main_CouldNotRestoreRuntime	MainWindow.xaml.cs	code	Could not restore the headset runtime	无法恢复头显运行时
Code_Main_SimulatorAlreadyRunning	MainWindow.xaml.cs	code	Simulator testing tool is already running	模拟器测试工具已在运行
Code_Main_SimulatorAlreadyRunningBody	MainWindow.xaml.cs	code	The manager has not changed your active OpenXR runtime.	管理器未更改当前活动的 OpenXR 运行时。
Code_Main_SimulatorLaunched	MainWindow.xaml.cs	code	Simulator testing tool launched	模拟器测试工具已启动
Code_Main_SimulatorLaunchedBody	MainWindow.xaml.cs	code	It opened without inheriting a simulator runtime override. Runtime selection remains an explicit testing action.	启动时未继承模拟器运行时覆盖。运行时选择仍需通过测试操作显式指定。
Code_Main_CouldNotLaunchSimulator	MainWindow.xaml.cs	code	Could not launch the simulator testing tool	无法启动模拟器测试工具
Code_Main_ActionLogSharing	MainWindow.xaml.cs	code	Log sharing	日志分享
Code_Main_ShareSummary	MainWindow.xaml.cs	code	{0} ({1} file(s); the link expires after about a week)	{0}（{1} 个文件；链接约一周后失效）
Code_Main_NotUploaded	MainWindow.xaml.cs	code	Not uploaded: {0}	未上传：{0}
Code_Main_LogsUploadedLinkCopied	MainWindow.xaml.cs	code	Logs uploaded - share link copied to the clipboard	日志已上传 — 分享链接已复制到剪贴板
Code_Main_LogsUploaded	MainWindow.xaml.cs	code	Logs uploaded	日志已上传
Code_Main_ActionFailed	MainWindow.xaml.cs	code	{0} failed	{0}失败
Code_Main_HashUnavailable	MainWindow.xaml.cs	code	hash unavailable	哈希不可用
Code_Main_HashNotInstalled	MainWindow.xaml.cs	code	not installed	未安装
Code_Main_CompletedSuccessfully	MainWindow.xaml.cs	code	Completed successfully.	已成功完成。
